title,price,area,diff
海淀区万丰路18号院朝东一居室出租,5500,61.35,haidian
知春路大钟寺蓟门南里双南向精装两居室,7500,52.9,haidian
白石桥东侧 方圆大厦450平办公房 3块2每平米 可注册,45000,460.67,haidian
南北透通空房精装修三居室 小区花园旁边的位置,8200,79.75,haidian
龙翔路小区 1室1厅 4600元,4600,40.4,haidian
中关村科学院南路科熙小区中间层两居室,8500,56.8,haidian
北坞嘉园南里 1室1厅 5800元,5800,58,haidian
戛纳35号院 1室1厅 8500元,8500,66,haidian
SOCO公社 2房间1卫 5100元,5100,56.78,haidian
戛纳35号院 2室1厅 8700元,8700,64.85,haidian
当代城市家园朝南一居  家具家电齐全,5300,46.03,haidian
玉海园一层  南北通透两居室  家具家电齐全可随时入住,5900,85.68,haidian
万寿路1号院 2室1厅 7000元,7000,55.1,haidian
立方庭 1室1厅 10000元,10000,35.5,haidian
Wehouse 6室3厅 52000元,52000,239.14,haidian
普惠北里带客厅两居室业主诚心出租,7800,62.7,haidian
精装两居，价格便宜，小区环境好，周边交通方便,7000,48.2,haidian
西钓鱼台 粮食局宿舍 精装两居室 诚心出租 看房方便,7300,54.2,haidian
上地东里 2室1厅 11000元,11000,108.15,haidian
索家坟 2室1厅 7500元,7500,57.3,haidian
车道沟10号院 2室1厅 7500元,7500,56.9,haidian
紫竹桥 高楼层 可拎包入住 精装修,7000,51.1,haidian
北太平庄 牡丹园 西土城 精装修 三居室 看房方便,17000,140.72,haidian
林大北路6号院 2室1厅 7800元,7800,81.7,haidian
莱圳家园 1室1厅 6000元,6000,68.24,haidian
定慧寺 北洼路 精装修三居室 诚心出租,10000,94.7,haidian
苏州街，中关村，人大西侧 紫金庄园两居室,6700,60.29,haidian
莱圳家园 2室1厅 8200元,8200,94.92,haidian
圆明园东里 1室1厅 6500元,6500,40.53,haidian
双榆树南里二区 2层板楼 南北两居,7600,58.01,haidian
新康园 2室1厅 6500元,6500,91.19,haidian
骚子营 2室1厅 6600元,6600,53,haidian
科源小区 3室1厅 11000元,11000,74.6,haidian
永定路甲19号院 2室1厅 5500元,5500,70.28,haidian
育新花园 2室1厅 6300元,6300,86.65,haidian
皂君东里 二层两居室 交通便利 诚心出租,8300,58.1,haidian
四季青 绿波漫板 西向开间 集中供暖 随时入住,5300,44.66,haidian
学院南路丙10号院 2室1厅 7300元,7300,42.8,haidian
中海紫金苑 3室2厅 30000元,30000,227.39,haidian
定慧东里 2室1厅 6500元,6500,59.3,haidian
知春里 3室1厅 10800元,10800,71.8,haidian
长河湾 4室2厅 28000元,28000,159.38,haidian
北洼路32号院，简装两居室 诚心出租，配套设施齐全,7500,71.53,haidian
西山公馆 2室2厅 14000元,14000,138.96,haidian
海淀南路24号院 2室1厅 10000元,10000,56.7,haidian
海淀南路 3室1厅 11500元,11500,75.5,haidian
青云北区 2室1厅 8300元,8300,59.2,haidian
万寿路，五棵松，中楼层精装两居室,7000,57.75,haidian
SOCO公社 2房间1卫 5200元,5200,52.1,haidian
建设研究院 2室1厅 6000元,6000,52.5,haidian
北蜂窝路5号院 3室1厅 17000元,17000,132.86,haidian
厂洼小区 1室1厅 6000元,6000,43.3,haidian
建材城西二里 3室1厅 6800元,6800,59.15,haidian
宝盛北里 1室1厅 5600元,5600,68.28,haidian
西山华府 1室0厅 5600元,5600,41.88,haidian
四季青 水云居 带电梯 两居室 出租,10500,94.56,haidian
金沟河2号院 2室1厅 6900元,6900,67.3,haidian
中关村双榆树太阳园东南向四居室,18500,171.24,haidian
水利局一处宿舍 3室1厅 6500元,6500,62.4,haidian
玉海园二里 2室1厅 5700元,5700,64.29,haidian
wehouse 联排边户型  精装修  使用面积600平米,65000,212.46,haidian
上地南路南北通透两居室，家具家电齐全,8200,104,haidian
上地西里 3室2厅 14000元,14000,146.1,haidian
万寿路公主坟国悦府136平精装两居，看房方便,26000,133.59,haidian
育新花园 1室1厅 5500元,5500,51.6,haidian
世纪科贸大厦 3室0厅 21600元,21600,104.97,haidian
知本时代 2室1厅 6700元,6700,83.45,haidian
南向精装复式，看房随时，凯德超市,10000,38.53,haidian
建材城东一里 2室1厅 4800元,4800,60.01,haidian
海淀清河公交党校宿舍两居室 近地铁 近公交,5800,53.88,haidian
燕北园 2室1厅 7500元,7500,61.3,haidian
远大园三区 2室1厅 13000元,13000,130.66,haidian
文成杰座 2室1厅 12000元,12000,97.26,haidian
新建宫门11号院 2室1厅 8000元,8000,75.11,haidian
2000年气象局单位分房 小区物业管理好 24小时门禁,12000,116.03,haidian
牡丹园 月季园精装修三居 北太平庄路 塔院小区,8500,47.9,haidian
褐石 4室2厅 40000元,40000,247.73,haidian
夏霖园 1室1厅 5800元,5800,55.24,haidian
苏州街33号公寓 3房间1卫 16000元,16000,65.81,haidian
教委计生委大院 2室1厅 9000元,9000,63.26,haidian
数码大厦两居室！东向！采光好！,14500,80.25,haidian
近育英  近地铁  精装三居室  诚心出租,11500,89.3,haidian
阜成路8号院 2室1厅 9200元,9200,60.3,haidian
逸升轩 4室2厅 21000元,21000,202.99,haidian
二里庄北里(近公交站)精装修一居室待出租,6000,48.1,haidian
牡丹园 塔院小区  牡丹园西里牡丹园地铁一居,6200,50.2,haidian
信息学院家属楼 2室1厅 6000元,6000,67.6,haidian
四季青 接待 居家 联排边户别墅  精装修 私密 观西山,55000,240.57,haidian
垂虹园 大两居 家具家电齐全 拎包入住带车位 生活方便,14000,121.63,haidian
北京电视台家属楼 05年小区 精装修 拎包入住,15000,105.28,haidian
金领时代 4房间1卫 16000元,16000,178.52,haidian
宝盛里 2室1厅 6900元,6900,69.35,haidian
wehouse城市别墅有包间 精装修使用面积800平米,108000,212.04,haidian
四季青 香山南路 巨山家园 精装两居 看房随时,5800,87,haidian
西直门钻河公馆 精装修带车位 上下两层复式,12500,46.71,haidian
知春路82号院新上东南3居看房有钥匙 近地铁知春里站,11500,76.6,haidian
西山国际城 2房间1卫 5600元,5600,32.36,haidian
领秀新硅谷1号院 3室2厅 23000元,23000,225.44,haidian
枫丹丽舍 4室1厅 14000元,14000,176.99,haidian
中海紫金苑高层观景三居室 观紫竹院公园全景,34500,227.39,haidian
金蝉北里 2室1厅 5800元,5800,86.19,chaoyang
精装南北四居，保养很好，随时起租,48000,280,chaoyang
朝阳区北苑家园望春园精装修 小区环境优美,6000,151.9,chaoyang
康家园 3室1厅 7500元,7500,89.18,chaoyang
朝青 姚家园路 逸翠园 精装四居 顶层复式带露台,35000,255,chaoyang
CBD东舍 2房间1卫 7000元,7000,38.61,chaoyang
常楹公元自由派 1房间1卫 4500元,4500,36.56,chaoyang
塔楼有电梯，上下楼方便；家具家电齐全。拎包入住。,6300,63.76,chaoyang
劲松桥东农光里带电梯高层南向精装修，短租半年一居室,5500,43.61,chaoyang
康家园 3室1厅 8300元,8300,87.84,chaoyang
国贸财富公寓三居室 三面采光 视野开阔 看房随时,27000,202.18,chaoyang
平乐园小区 2室1厅 6800元,6800,61.55,chaoyang
时间国际 西南两居 中间楼层 精装修,14000,100.84,chaoyang
八里庄北里小区 2室1厅 6500元,6500,60.52,chaoyang
主场 1室1厅 7300元,7300,56.39,chaoyang
国际港 3室2厅 15000元,15000,140.28,chaoyang
呼家楼南里独门独院大三居 拎包入住,11500,104.4,chaoyang
安慧里两居室业主锁一间当一居室出租,6500,65.1,chaoyang
乐栋300 3房间1卫 6000元,6000,60.78,chaoyang
金海国际南区 1室1厅 8500元,8500,85.65,chaoyang
晨光家园 1室1厅 6400元,6400,72.1,chaoyang
保利东郡 3室2厅 31000元,31000,165.92,chaoyang
太阳宫西坝河光熙门精装修一居室随时入住,6500,42.29,chaoyang
润枫嘉尚 1房间1卫 7000元,7000,49.89,chaoyang
朝阳公园 燕莎后 精装修 三居室 集中地暖,15000,138.64,chaoyang
富力城精装修一居室 观花园 随时入住,10500,62.29,chaoyang
美利山  东向精装一居室  短租半年,6500,55.08,chaoyang
康家园 1室1厅 4700元,4700,42.26,chaoyang
明厨明卫明厅，业主自住装修，家具家电齐全,6200,48.8,chaoyang
精装LOFT 封闭式物业管理 四居 家具家电齐全 拎包入住,15000,83.6,chaoyang
明天第一城8号院 3房间1卫 6600元,6600,67.48,chaoyang
带电梯  精装修 诚心出租 可长租,7000,79.34,chaoyang
立水桥 6号院 带电梯  诚心出租,6800,79.34,chaoyang
合生麒麟社 8房间2卫 40000元,40000,154.02,chaoyang
垂杨柳西里 2室1厅 5200元,5200,49.72,chaoyang
小黄庄前街2号院 2室1厅 6600元,6600,61.06,chaoyang
地杰长安驿 1室1厅 10000元,10000,65.99,chaoyang
乐成国际 1室0厅 9000元,9000,70.65,chaoyang
柏林爱乐二期  全南向房子 业主诚心出租  一家人,8500,111.96,chaoyang
柏林爱乐二期 2室1厅 8550元,8550,97.53,chaoyang
百子湾7号线中水电精装两居室，拎包入住！,8500,87,chaoyang
昆泰嘉诚酒店 南北高层看花园三居 落地窗采光很好,20000,155.27,chaoyang
和平西街 2室1厅 6800元,6800,65.04,chaoyang
中国铁建广场 2房间1卫 7000元,7000,56.4,chaoyang
美然动力A2区 1室0厅 5500元,5500,43.76,chaoyang
拂林园 大三居 南北通透 次顶层 视野没遮挡 正规花园,14500,149.23,chaoyang
爱这城二期 3室1厅 14000元,14000,137.04,chaoyang
拂林园 3室1厅 15000元,15000,150.02,chaoyang
世茂奥临花园 2室2厅 13000元,13000,129.17,chaoyang
燕归宁馨园 3室1厅 6000元,6000,120.4,chaoyang
观湖国际 3室2厅 25000元,25000,173.38,chaoyang
天之骄子 南向三居室 二次精装修 诚意出租,20000,157.6,chaoyang
国美精装大三居，达美中心，高楼层采光好,12500,138.94,chaoyang
精装一居室   正南向    中高层    方便看  诚意租。,8900,64.39,chaoyang
国美一城精装南北大三居，简洁干净，居住舒适,12500,140.16,chaoyang
大西洋精装大三居 随时起租  东南向 有车位,21000,154.93,chaoyang
方舟苑一期 2室1厅 8500元,8500,81.05,chaoyang
柳芳 柳芳南里精装修带电梯一居室 朝南向,6800,44.76,chaoyang
首开常青藤二期 3室1厅 8200元,8200,95.09,chaoyang
垂杨柳北里温馨舒适两居室拎包入住近地铁双井站,5900,48.42,chaoyang
重新装修 双面观景 三面采光 价格能谈 楼层好 有钥匙,38000,248.13,chaoyang
融科橄榄城南北向三居室，全明格局，明厨明卫自住装修,20000,147.92,chaoyang
南湖中园二区 2室1厅 7000元,7000,67.48,chaoyang
京师园3室2卫 南北通透 高层观景,12500,118.24,chaoyang
樱海园南向两居室 保养佳 精装全齐 拎包入住,25000,150.92,chaoyang
UHN国际村 2室1厅 15000元,15000,108.74,chaoyang
惠新西街南口两居室　租售房源　可短租半年也可签一年,6500,62.91,chaoyang
朝阳门 蓝筹名座 西向2居室 可办公可居住,16000,124.7,chaoyang
武圣西里 2室1厅 7000元,7000,57.68,chaoyang
世安家园 精装两居 家电齐全 随时入住 租期一年,9000,87.65,chaoyang
亚运村小营凯旋城精装三居 家电齐全 拎包入住,26000,187.64,chaoyang
全南全明两居 有车位 采光好 有钥匙 看房随时 可长租,12500,89.41,chaoyang
亮马桥 三源里南小街 干净正规两居 南北通透 看房预约,7200,61.52,chaoyang
首城国际写字楼 办公可注册，位置好,13500,62.85,chaoyang
三全公寓 2室1厅 22000元,22000,110.38,chaoyang
精装修一改二  可以随时看房 诚意出租,15000,92.13,chaoyang
北辰福第一号院 2室1厅 6500元,6500,82.73,chaoyang
太阳公元 3室2厅 26000元,26000,162.98,chaoyang
天创世缘南北三居室  随时入住,15000,164.58,chaoyang
垂杨柳北里温馨舒适两居室拎包入住交通便利,6200,63.43,chaoyang
欢乐谷华侨城大三居诚意出租 可长租,10000,129.96,chaoyang
海悦名门 2室1厅 17000元,17000,90.31,chaoyang
美然动力A3区 3室1厅 8600元,8600,120.83,chaoyang
天畅园 2室1厅 11500元,11500,132.81,chaoyang
扬州水乡上叠别墅，业主诚意出租,10000,203.3,chaoyang
西南大三居    精装   看房方便,19000,182.9,chaoyang
松榆西里 1室1厅 4800元,4800,47.55,chaoyang
江南山水 2室1厅 6500元,6500,95.81,chaoyang
乐想汇 2房间1卫 6000元,6000,68.07,chaoyang
美伦堡 2室1厅 14000元,14000,126.53,chaoyang
花家地小区 2室1厅 7960元,7960,55.51,chaoyang
华贸城 精装修LOFT  价格有可聊空间 月底可入住,7500,52.8,chaoyang
美景东方两居室家具家电齐全出租,10000,105.79,chaoyang
美立方 4房间1卫 9000元,9000,101.27,chaoyang
罗马嘉园东区精装南北四居 拎包入住 家电全齐近地铁,15500,135.16,chaoyang
花家地北里 3室1厅 8000元,8000,69.65,chaoyang
嘉和丽园 2室1厅 15500元,15500,105.4,chaoyang
三源里街 2室1厅 7500元,7500,60.2,chaoyang
四环边，地铁旁，精装修，大三居，有钥匙！,13000,114.43,chaoyang
板楼南北三居，带电梯，近地铁，还临奥森，配套齐全,9500,121.3,chaoyang
